PF185293,admin,일상으로의 초대 [제주],2022-02-06,2022-02-06,ICC제주국제컨벤션센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185293_211230_103055.jpg,대중음악,경기
PF185374,admin,"성음오페라페스티발, 헨젤과그레텔",2022-01-15,2022-01-15,성음아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185374_220103_104517.jpg,서양음악(클래식),경기
PF185382,admin,제5회 소설시장페스티벌,2022-01-05,2022-01-30,소극장 혜화당(구. 까망소극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF185382_220103_110640.gif,연극,경기
PF185383,admin,"제1회 혜윰창작공연예술제, 어떤 내일도 오지 않을 것처럼",2022-01-19,2022-01-23,예술공간 혜화,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185383_220103_110826.gif,연극,경기
PF185621,admin,제5회 제주국제실내악페스티벌,2022-01-20,2022-01-23,제주아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185621_220111_105121.jpg,서양음악(클래식),경기
PF185728,admin,이달의 어썸,2022-01-23,2022-01-23,세종대학교 대양홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185728_220113_114727.gif,대중음악,경기
PF185790,admin,"제3회 딜레마연극제, 놀이공원의 하늘은 언제나 푸르다",2022-01-13,2022-01-23,후암스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185790_220117_101240.gif,연극,경기
PF185871,admin,피아노 콘체르토 페스타,2022-02-16,2022-02-16,롯데콘서트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185871_220119_094822.jpg,서양음악(클래식),경기
PF185878,admin,제39회 젊은이의 음악제,2022-02-07,2022-02-11,영산아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185878_220119_102711.jpg,서양음악(클래식),경기
PF185880,admin,제10회 서울레코드페어 특별공연,2022-01-22,2022-01-22,웨스트브릿지 라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185880_220119_103151.jpg,대중음악,경기
PF185892,admin,봄을 여는 오페라 갈라 페스티벌 Ⅰ,2022-02-09,2022-02-10,국립극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185892_220119_105452.gif,서양음악(클래식),경기
PF185893,admin,봄을 여는 오페라 갈라 페스티벌 Ⅱ,2022-02-12,2022-02-13,국립극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185893_220119_105900.gif,서양음악(클래식),경기
PF185939,admin,"통영국제음악제, 트룰스 뫼르크 첼로 리사이틀",2022-03-29,2022-03-29,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185939_220121_094903.png,서양음악(클래식),경기
PF185940,admin,"통영국제음악제, 통영페스티벌오케스트라 Ⅱ",2022-04-01,2022-04-01,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185940_220121_095135.gif,서양음악(클래식),경기
PF185941,admin,"통영국제음악제, 통영페스티벌오케스트라 I",2022-03-25,2022-03-25,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185941_220121_095632.gif,서양음악(클래식),경기
PF185942,admin,"통영국제음악제, 통영페스티벌오케스트라 Ⅲ",2022-04-03,2022-04-03,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185942_220121_095900.jpg,서양음악(클래식),경기
PF185943,admin,"통영국제음악제, 킹스 싱어즈 II: 하모니를 위하여",2022-03-27,2022-03-27,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185943_220121_100111.gif,서양음악(클래식),경기
PF185944,admin,"통영국제음악제, 킹스 싱어즈 I: 마스터피스",2022-03-26,2022-03-26,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185944_220121_100426.gif,서양음악(클래식),경기
PF185945,admin,"통영국제음악제, 쾰른체임버오케스트라 with 트룰스 뫼르크",2022-03-27,2022-03-27,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185945_220121_100644.jpg,서양음악(클래식),경기
PF185946,admin,"통영국제음악제, 코리안챔버오케스트라",2022-04-02,2022-04-02,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185946_220121_100911.jpg,서양음악(클래식),경기
PF185947,admin,"통영국제음악제, 체임버 나이트",2022-03-28,2022-03-28,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185947_220121_101104.jpg,서양음악(클래식),경기
PF185949,admin,"통영국제음악제, 스베틀린 루세브 & 테디 파파브라미",2022-04-03,2022-04-03,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185949_220121_101450.jpg,서양음악(클래식),경기
PF185950,admin,"통영국제음악제, 베이스 연광철 리사이틀",2022-04-02,2022-04-02,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185950_220121_101646.jpg,서양음악(클래식),경기
PF185951,admin,"통영국제음악제, 박재홍 피아노 리사이틀",2022-03-28,2022-03-28,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185951_220121_101837.jpg,서양음악(클래식),경기
PF185952,admin,"통영국제음악제, 박채영 피아노 리사이틀",2022-04-02,2022-04-02,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185952_220121_102017.jpg,서양음악(클래식),경기
PF185953,admin,"통영국제음악제, 바이츠 퀸텟 & 박채영",2022-03-26,2022-03-26,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185953_220121_102219.jpg,서양음악(클래식),경기
PF185954,admin,"통영국제음악제, 메조소프라노 막달레나 코제나 리사이틀",2022-03-29,2022-03-29,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF185954_220121_102408.jpg,서양음악(클래식),경기
PF186001,admin,"통영국제음악제, KBS교향악단 & 김유빈",2022-03-31,2022-03-31,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186001_220121_120542.gif,서양음악(클래식),경기
PF186002,admin,"통영국제음악제, TIMF앙상블",2022-03-27,2022-03-27,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186002_220121_120834.gif,서양음악(클래식),경기
PF186003,admin,"통영국제음악제, 노부스 콰르텟",2022-03-26,2022-03-26,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186003_220121_121127.gif,서양음악(클래식),경기
PF186005,admin,"통영국제음악제, 라 보체 스트루멘탈레 with 율리야 레즈네바",2022-03-30,2022-03-30,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186005_220121_121819.gif,서양음악(클래식),경기
PF186006,admin,"통영국제음악제, 라셔 색소폰 콰르텟",2022-04-02,2022-04-02,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186006_220121_122255.gif,서양음악(클래식),경기
PF186023,admin,"창작단막극축제, 뿔난이들",2022-02-01,2022-03-13,드림시어터 [대학로],http://www.kopis.or.kr/upload/pfmPoster/PF_PF186023_220121_132503.gif,연극,경기
PF186048,admin,"제1회 춤사랑 무용제, 사)보훈무용예술협회 구미시지부 무용제",2022-02-20,2022-02-20,강동문화복지회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186048_220207_154923.jpg,무용,경기
PF186069,admin,"통영국제음악제, 디오니소스 로봇",2022-03-30,2022-03-30,통영국제음악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186069_220124_132100.gif,한국음악(국악),경기
PF186094,admin,"제6회 늘푸른연극제, 그래도, 봄: 건널목 삽화",2022-02-23,2022-02-27,씨어터 쿰,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186094_220125_104046.gif,연극,경기
PF186105,admin,"제6회 늘푸른연극제, 그래도, 봄: 메리크리스마스 엄마",2022-02-24,2022-02-27,JTN 아트홀(구. 대학로예술마당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF186105_220125_115406.gif,연극,경기
PF186108,admin,"제6회 늘푸른연극제, 그래도, 봄: 몽땅 털어놉시다",2022-02-18,2022-02-20,JTN 아트홀(구. 대학로예술마당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF186108_220125_121229.gif,연극,경기
PF186210,admin,"제3회 딜레마극장, 미스줄리",2022-02-08,2022-02-13,대학로단막극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186210_220127_113805.gif,연극,경기
PF186244,admin,"안동윈터아트페스티벌, 안동아코디언동호회 & 웅부실버악단 크로스오버 신바람콘서트 [안동]",2022-02-20,2022-02-20,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186244_220128_104502.jpg,복합,경기
PF186253,admin,"안동윈터아트페스티벌, 경북북부색소폰앙상블",2022-02-12,2022-02-12,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186253_220128_111411.jpg,서양음악(클래식),경기
PF186259,admin,"안동윈터아트페스티벌, 코스모스색소폰오케스트라",2022-02-19,2022-02-19,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186259_220128_112856.jpg,서양음악(클래식),경기
PF186262,admin,"안동윈터아트페스티벌, Classic in 희로애락",2022-02-16,2022-02-16,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186262_220128_114005.jpg,서양음악(클래식),경기
PF186276,admin,"안동윈터아트페스티벌, 여울소리",2022-02-18,2022-02-18,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186276_220128_123341.jpg,서양음악(클래식),경기
PF186349,admin,CAMPING MUSIC FESTIVAL,2022-02-26,2022-02-27,노들섬,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186349_220203_131504.jpg,대중음악,경기
PF186464,admin,"제1회 오산 위클리 클래식 페스티벌, 바이올린 고찬미, 피아노 김지연",2022-02-16,2022-02-16,MEG아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186464_220207_125131.png,서양음악(클래식),경기
PF186569,admin,"한뼘예술제, 風~물은 흐르고 흘러",2022-02-15,2022-02-15,과천시민회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186569_220209_132051.jpg,한국음악(국악),경기
PF186643,admin,"실내페스티벌, 일상으로의 초대 [대구]",2022-02-26,2022-02-26,천마아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186643_220210_115755.gif,대중음악,경기
PF186679,admin,"제17회 한국영아티스트 뮤직 페스티벌, 갈라 콘서트",2022-02-26,2022-02-26,모차르트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186679_220211_110542.gif,서양음악(클래식),경기
PF186804,admin,"방방곡곡 페스타, 코카카와 함께 하는 일상회복 힐링콘서트: 희망의 다리를 놓다 (2.22)",2022-02-22,2022-02-22,하남문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186804_220216_093832.jpg,복합,경기
PF186805,admin,"방방곡곡 페스타, 코카카와 함께 하는 일상회복 힐링콘서트: 희망의 다리를 놓다 (2.20)",2022-02-20,2022-02-20,하남문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186805_220216_094125.jpg,복합,경기
PF186806,admin,"방방곡곡 페스타, 코카카와 함께 하는 일상회복 힐링콘서트: 희망의 다리를 놓다 (2.21)",2022-02-21,2022-02-21,하남문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186806_220216_094535.jpg,복합,경기
PF186822,admin,"안동윈터아트페스티벌, 동백꽃: 설원",2022-03-04,2022-03-05,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186822_220216_102926.jpg,연극,경기
PF186857,admin,"안동윈터아트페스티벌, 클라샾이 들려주는 음악가들의 삶과 음악",2022-03-08,2022-03-08,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186857_220217_095218.jpg,서양음악(클래식),경기
PF186865,admin,"안동윈터아트페스티벌, 연희프로젝트: 내가 간다 풍물Road",2022-03-11,2022-03-11,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186865_220217_101425.jpg,한국음악(국악),경기
PF186877,admin,"안동윈터아트페스티벌, 봄 & 희망! 콘서트",2022-03-12,2022-03-12,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186877_220217_105701.jpg,서양음악(클래식),경기
PF186941,admin,"안동윈터아트페스티벌, 비보브라스와 함께하는 피아졸라 원오원(101) 콘서트",2022-03-19,2022-03-19,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186941_220218_113151.jpg,서양음악(클래식),경기
PF186985,admin,"안동윈터아트페스티벌, 트롯 마스터피스",2022-03-02,2022-03-02,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186985_220221_101335.jpg,대중음악,경기
PF186996,admin,"안동윈터아트페스티벌, 소노리떼: 깊은 밤을 날아서",2022-03-15,2022-03-15,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF186996_220221_104132.jpg,서양음악(클래식),경기
PF187000,admin,"제31회 대전연극제, 아임파파",2022-03-03,2022-03-03,대전예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187000_220221_104720.jpg,연극,경기
PF187001,admin,"제31회 대전연극제, 투견",2022-03-07,2022-03-07,대전예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187001_220221_104931.jpg,연극,경기
PF187002,admin,"제31회 대전연극제, Live 쭈삼이 TV",2022-03-01,2022-03-01,대전예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187002_220221_105142.jpg,연극,경기
PF187004,admin,"제31회 대전연극제, 아임파파",2022-03-03,2022-03-03,대전예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187004_220221_105421.jpg,연극,경기
PF187007,admin,"GARAGE FEST, 버블엑스 & 퍼플유토피아 & 샷걸 & 모비딕 & 신대철",2022-02-26,2022-02-26,앙트르뽀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187007_220221_105953.jpg,대중음악,경기
PF187023,admin,"안동윈터아트페스티벌, 안동역에서",2022-03-13,2022-03-13,안동문화예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187023_220221_113927.jpg,서양음악(클래식),경기
PF187067,admin,"제31회 대전연극제, 북어대가리",2022-03-05,2022-03-05,대전예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187067_220222_103344.jpg,연극,경기
PF187079,admin,대전국제음악제 오페라 갈라콘서트,2022-03-12,2022-03-12,대전예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187079_220222_110732.gif,서양음악(클래식),경기
PF187100,admin,"한화와 함께하는 교향악축제, 코리안심포니오케스트라",2022-04-16,2022-04-16,예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187100_220223_092545.jpg,서양음악(클래식),경기
PF187101,admin,"한화와 함께하는 교향악축제, 청주시립교향악단",2022-04-03,2022-04-03,예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187101_220223_092801.jpg,서양음악(클래식),경기
PF187102,admin,"한화와 함께하는 교향악축제, 창원시립교향악단",2022-04-21,2022-04-21,예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187102_220223_093127.jpg,서양음악(클래식),경기
PF187103,admin,"한화와 함께하는 교향악축제, 제주특별자치도립 제주교향악단",2022-04-15,2022-04-15,예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187103_220223_093308.jpg,서양음악(클래식),경기
PF187104,admin,"한화와 함께하는 교향악축제, 인천시립교향악단",2022-04-10,2022-04-10,예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187104_220223_093447.jpg,서양음악(클래식),경기
PF187105,admin,"한화와 함께하는 교향악축제, 원주시립교향악단",2022-04-17,2022-04-17,예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187105_220223_093637.jpg,서양음악(클래식),경기
PF187106,admin,"한화와 함께하는 교향악축제, 수원시립교향악단",2022-04-06,2022-04-06,예술의전당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF187106_220223_094006.jpg,서양음악(클래식),경기
